字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
節,dziat7,子結,精,屑,入,開,山,四等,,,,,,,,,,,,,,,,,,,
本,bun4,布忖,幫,魂,上,合,臻,一等,,,,,,,,,,,,,,,,,,,
術,zuit7,食聿,船,術,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
可,kha4,枯我,溪,歌,上,開,果,一等,,,,,,,,,,,,,,,,,,,
丙,bian4,兵永,幫,庚,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
左,dza4,臧可,精,歌,上,開,果,一等,,,,,,,,,,,,,,,,,,,
厲,lei6,力制,來,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
右,iu3,云久,云,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
石,zeik7,常隻,禪,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
布,bo6,博故,幫,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
龍,laong2,力鍾,來,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
平,bian2,房連,並,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
滅,miat7,亡列,明,薛,入,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
軋,at7,烏黠,影,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
東,daong1,德紅,端,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
卡,zap7,從納,從,合,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
北,bok7,博墨,幫,德,入,開,曾,一等,,,,,,,,,,,,,,,,,,,
占,dziem6 dziem1,章豔,章,鹽,去,開,咸,三等,,,,,,,,,,,,,,,,,,,
占,dziem1,職廉,章,鹽,平,開,咸,三等,,,,,,,,,,,,,,,,,,,
業,ngiap7,魚怯,疑,業,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
舊,giu5,巨救,群,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
帥,sui6,所類,生,脂,去,合,止,三等,,,,,,,,,,,,,,,,,,,
歸,gui1,舉韋,見,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
且,tshia4,七也,清,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
旦,dang6,得按,端,寒,去,開,山,一等,,,,,,,,,,,,,,,,,,,
目,mouk7,莫六,明,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
葉,iap7,與涉,以,葉,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
甲,gap7,古狎,見,狎,入,開,咸,二等,,,,,,,,,,,,,,,,,,,
申,sen1,失人,書,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
叮,dian1,當經,端,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
電,dien5,堂練,定,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
號,au5 au2,胡到,匣,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
號,au2,胡刀,匣,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
田,dien2,徒年,定,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
由,iu2,以周,以,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
史,si4,踈士,生,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
只,dzi4 dzi1,諸氏,章,支,上,開,止,三等,,,,,,,,,,,,,,,,,,,
只,dzi1,之爾,章,支,平,開,止,三等,eastling 有誤，http://xiaoxue.iis.sinica.edu.tw/ccr/,,,,,,,,,,,,,,,,,,
隻,dzeik8,之石,章,昔,入,開,梗,三等,隻縉雲話講dzak，一隻袋,,,,,,,,,,,,,,,,,,
央,ioong1,於良,影,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
兄,hian1,許榮,曉,庚,平,合,梗,三等,,,,,,,,,,,,,,,,,,,
叫,gio6,古弔,見,蕭,去,开,效,四等,,,,,,,,,,,,,,,,,,,
另,lian5,郎定,來,青,去,开,梗,四等,,,,,,,,,,,,,,,,,,,
叨,dau1,都勞,端,豪,平,开,效,一等,,,,,,,,,,,,,,,,,,,
歎,thang6,他旦,透,寒,去,开,山,一等,,,,,,,,,,,,,,,,,,,
四,si6,息利,心,脂,去,开,止,三等,,,,,,,,,,,,,,,,,,,
生,san1,所庚,生,庚,平,开,梗,二等,,,,,,,,,,,,,,,,,,,
失,sit7,式質,書,質,入,开,臻,三等,,,,,,,,,,,,,,,,,,,
禾,ua2,户戈,匣,戈,平,合,果,一等,,,,,,,,,,,,,,,,,,,
丘,khiu1,去鳩,溪,尤,平,开,流,三等,,,,,,,,,,,,,,,,,,,
付,fu6,方遇,非,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
仗,dzioong4,直亮,澄,陽,上,开,宕,三等,,,,,,,,,,,,,,,,,,,
代,dai5,徒耐,定,咍,去,开,蟹,一等,,,,,,,,,,,,,,,,,,,
仙,sien1,相然,心,仙,平,开,山,三等,,,,,,,,,,,,,,,,,,,
議,ngi5,宜寄,疑,支,去,开,止,重钮三等,,,,,,,,,,,,,,,,,,,
白,bak7,傍陌,並,陌,入,开,梗,二等,,,,,,,,,,,,,,,,,,,
仔,dzi4,即里,精,之,上,开,止,三等,,,,,,,,,,,,,,,,,,,
他,tha1,託何,透,歌,平,开,果,一等,,,,,,,,,,,,,,,,,,,
斥,tsheik8,充夜,昌,昔,入,开,梗,三等,,,,,,,,,,,,,,,,,,,
瓜,gua1,古華,見,麻,平,合,假,二等,,,,,,,,,,,,,,,,,,,
乎,o1,户吳,匣,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
叢,zaong2,徂紅,從,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
令,lian5 lian6 lian2,郎定,來,青,去,开,梗,四等,動詞,,,,,,,,,,,,,,,,,,
令,lian6,郎定,來,清,去,开,梗,三等,名詞,,,,,,,,,,,,,,,,,,
令,lian2,郎定,來,清,平,开,梗,三等,令狐,,,,,,,,,,,,,,,,,,
用,iong5,余頌,以,鍾,去,合,通,三等,,,,,,,,,,,,,,,,,,,
印,jen6,於刃,影,真,去,开,臻,重钮四等,,,,,,,,,,,,,,,,,,,
樂,lok7 ngok8,盧各,來,鐸,入,开,宕,一等,,,,,,,,,,,,,,,,,,,
樂,ngok8,五角,疑,覺,入,开,江,二等,,,,,,,,,,,,,,,,,,,
句,gu6,九遇,見,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
匆,tshaong1,倉紅,清,東,平,合,通,一等,,,,,,,,,,,,,,,,,,,
冊,tshak7,楚革,初,麥,入,开,梗,二等,,,,,,,,,,,,,,,,,,,
犯,vam3,防錽,奉,凡,上,合,咸,三等,,,,,,,,,,,,,,,,,,,
外,nguai5,五會,疑,泰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
處,tshv6 tshv4,昌據,昌,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
處,tshv4,昌與,昌,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
冬,daong1,都宗,端,冬,平,合,通,一等,,,,,,,,,,,,,,,,,,,
鳥,dio4,都了,端,蕭,上,开,效,四等,,,,,,,,,,,,,,,,,,,
務,mu5,亡遇,微,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
包,bao1,布交,幫,肴,平,开,效,二等,,,,,,,,,,,,,,,,,,,
饑,gi1,居依,見,微,平,开,止,三等,,,,,,,,,,,,,,,,,,,
主,dzu4,之庾,章,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
市,zi3,時止,禪,之,上,开,止,三等,,,,,,,,,,,,,,,,,,,
立,lip7,力入,來,緝,入,开,深,三等,,,,,,,,,,,,,,,,,,,
閃,siem4,失冉,書,鹽,上,开,咸,三等,另有去聲,,,,,,,,,,,,,,,,,,
蘭,lang2,落干,來,寒,平,开,山,一等,,,,,,,,,,,,,,,,,,,
半,buang6,博幔,幫,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
汁,缉韵,之入,章,緝,入,开,深,三等,,,,,,,,,,,,,,,,,,,
匯,uai3,胡罪,匣,灰,上,合,蟹,一等,,,,,,,,,,,,,,,,,,,
